Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-08,Food Group,B) Others, M.T,202997.41810450002,26813.928725984995,94743.96949033611,251439,44244,158843
2025-08,Food Group,2.Fish & Fish Preparations, M.T,10695.5976,6742.9115903331,23908.68685594951,7650,4506,16178
2025-08,Food Group,3.Fruits, M.T,45464.028738099994,8910.575650292896,31543.342676097993,38154,8408,30185
2025-08,Food Group,4.Vegetables, M.T,50997.767543500006,3779.321802663599,13386.540596264598,72777,6196,22244
2025-08,Food Group,5.Leguminous Vegetables  (Pulses), M.T,0,0,0,0,0,0
2025-08,Food Group,6.Tobacco, M.T,804.199,501.9154062576,1771.4471019266214,5249,5446,19553
2025-08,Food Group,7.Wheat, M.T,0,0,0,0,0,0
2025-08,Food Group,8.Spices, M.T,2313.7751813999994,1785.7264967801977,6310.2632213919105,2276,2215,7953
2025-08,Food Group,"9.Oil Seeds, Nuts And Kernals", M.T,6996.6662400000005,1929.2830329831995,6829.532068783229,12279,5400,19385
2025-08,Food Group,10.Sugar, M.T,0,0,0,46991,7956,28562
2025-08,Food Group,11.Meat And Meat Preparations, M.T,8035.6342927000005,10287.481220141994,36438.36212743011,8906,10692,38385
2025-08,Food Group,12.All Other Food Items,    -,-,22940.555635387904,81095.77356224542,-,26404,94793
2025-08,Textile Group,13.Raw Cotton, M.T,0,0,0,0,0,0
2025-08,Textile Group,14.Cotton Yarn, M.T,25542.555007099985,17852.785968267905,63125.93952729256,19845,15275,54838
2025-08,Textile Group,15.Cotton Cloth, M.T,30244.291704200008,44517.05702106533,157475.245548039,33425,50840,182523
2025-08,Textile Group,16.Cotton Carded Or Combed, M.T,0,0,0,0,0,0
2025-08,Textile Group,17.Yarn Other Than Cotton Yarn, M.T,1175.0704784999998,840.8320807821001,2973.4050254944086,1204,946,3396
2025-08,Textile Group,18.Knitwear,TH.DOZ,19825,125999.30035631025,445686.5739977071,21874,128937,462903
2025-08,Textile Group,19.Bed Wear, M.T,44632.892221199974,76094.74340262644,269120.20380223676,48749,80901,290448
2025-08,Textile Group,20.Towels, M.T,18307.14615689999,24100.47379535115,85224.07882765762,21048,28041,100673
2025-08,Textile Group,"21.Tents,Canvas & Tarpulin", M.T,2882.0267064,2614.2581225563003,9244.227370372684,3544,2423,8700
2025-08,Textile Group,22.Readymade Garments,TH.DOZ,5848.9706357,92764.59205455046,328054.317517825,7322,101112,363006
2025-08,Textile Group,"23.Art,Silk & Synthetic Textile", M.T,6792.8111689,9330.0585657935,32998.524322864054,7255,9470,33999
2025-08,Textile Group,24.Madeup Articles(Excl.Towels & Bedwear.),   -,-,18860.482461910306,66682.6122822232,-,19866,71322
2025-08,Textile Group,25.Other Textile Materials,   -,-,17812.1135285134,62998.75560706442,-,20201,72525
2025-08,Petroleum  & Coal Group,26.Petroleum Crude, M.T,0,0,0,0,0,0
2025-08,Petroleum  & Coal Group,27.Petroleum Products(Excl Top Naphta), M.T,42947.921,5582.382488154699,19748.38603629998,55591,7343,26364
2025-08,Petroleum  & Coal Group,28.Petroleum Top Naphta, M.T,0,0,0,0,0,0
2025-08,Petroleum  & Coal Group,29.Solid Fuels (Coal), M.T,0,0,0,0,0,0
2025-08,Other Manufactures Group,"30.Carpets, Rugs & Mats",TH.SQM,158.11166190000006,1049.4762439763997,3714.037494957459,212,1402,5032
2025-08,Other Manufactures Group,31.Sports Goods,   -,-,10281.918003241,36335.70379068213,-,9087,32624
2025-08,Other Manufactures Group,A)  Footballs,TH.DOZ,395,6499.1848662991,22963.816620374662,371,5832,20938
2025-08,Other Manufactures Group,B)  Gloves,TH.DOZ,104,1545.9394059483998,5464.119855718721,69,1307,4693
2025-08,Other Manufactures Group,C)  Others,   -,-,2236.7937309934996,7907.767314588747,-,1948,6993
2025-08,Other Manufactures Group,32.Leather Tanned, M.T,639.1731084,3240.1177433023986,11465.188074924725,709,2836,10182
2025-08,Other Manufactures Group,33.Leather Manufactures,    -,-,14436.858080582788,51058.14331867397,-,15305,54948
2025-08,Other Manufactures Group,A) Leather Garments, TH.DOZ,255,6912.548302441188,24456.36013726977,217,6532,23450
2025-08,Other Manufactures Group,B) Leather Gloves, TH.DOZ,848.3670383,7223.522459875399,25538.201683138625,906,8428,30258
2025-08,Other Manufactures Group,C) Other Leather Manufactures,    -,-,300.78731826620003,1063.5814982655713,-,345,1240
2025-08,Other Manufactures Group,34.Footwear,TH.Pairs,1727.8850053,4529.6058981368005,16013.885616047099,1848,5151,18492
2025-08,Other Manufactures Group,A) Leather Footwear,TH.Pairs,719.8190029,3542.8028584600006,12522.341143403974,914,4206,15099
2025-08,Other Manufactures Group,B) Canvas Footwear,TH.Pairs,3.26,22.1209972147,78.20796998542765,14,78,280
2025-08,Other Manufactures Group,C) Other Footwear,TH.Pairs,1004.8060024,964.6820424621001,3413.3365026576976,920,867,3113
2025-08,Other Manufactures Group,35.Surgical Goods & Medical Instruments,    -,-,10254.928947476965,36267.853035208595,-,10751,38599
2025-08,Other Manufactures Group,36.Cutlery,    -,-,1250.7109541870002,4421.356029781523,-,1702,6112
2025-08,Other Manufactures Group,37.Onyx Manufactured,   M.T,199,131.31012885550004,464.26901124889497,76,60,214
2025-08,Other Manufactures Group,38.Chemicals And Pharm.Products,    -,,30831.539955347504,108994.28191426139,-,36061,129464
2025-08,Other Manufactures Group,A) Fertilizer Manufactured,   M.T,0,0,0,0,0,0
2025-08,Other Manufactures Group,B) Plastic Materials,   M.T,32076.1224632,9457.657630824102,33438.638281767046,41961,13979,50186
2025-08,Other Manufactures Group,C) Pharmaceutical Products,   M.T,6545.757260199998,8861.928128710404,31352.54079226538,6737,7899,28357
2025-08,Other Manufactures Group,D) Other Chemicals,    -,-,12511.954195812996,44203.10284022897,-,14183,50921
2025-08,Other Manufactures Group,39.Engineering Goods,    -,-,9858.1936062594,34865.115207118666,-,13001,46674
2025-08,Other Manufactures Group,A) Electric Fans,TH.NOS,99,524.4664129413999,1855.393609541929,142,705,2532
2025-08,Other Manufactures Group,B) Transport Equipment,    -,-,451.0128232124,1597.6642683001392,-,424,1522
2025-08,Other Manufactures Group,C) Other Electrical Machinery,    -,-,2764.3747253413,9773.01422983788,-,1614,5793
